///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//  IDE: TMW-Maker - Ferramenta Editora de Banco de Dados de Monstros
//  MODIFICADO: 29/10/2011 11:54 PM
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//     ** ID,NomeSumonico,NomeTítulo,
//     ** LVL,HP,SP,EXP,JobEXP,
//     ** Alcance1,AtaqMin,AtaqMax,DEF,MagDEF,
//     ** Força,Agilidade,Vitalidade,Inteligência,Destresa,Sorte,
//     ** Alcance2,Alcance3,Escala,Raça,Elemento,Modo,Velocidade,IntervaloAtaque,
//     ** Amotion,Dmotion,
//     ** Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,
//     ** Item1,Item2,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,mutiation count,mutation strength
//
//		 * NomeSumonico: Sem espaço e nem caracteres especiais. Exemplo: "CapitaoDaGuarda"
//		 * NomeTítulo: Pode haver espaço e caracteres especiais no formato UTF-8. Exemplo: "Capitão da Guarda"
//		 * LVL: Qual o nível do monstros. Exemplo: É preferivel que Jogadores LVL30 enfrente Monstros LVL30.
//				  Monstros acima de nível maximo (LVL99) são BOSS.
//		 * HP: São os pontos de saúde do monstro.
//		 * SP: São os pontos de magia do monstro, que definem quantas vezes o monstro pode usar uma determinada magia.
//		 * EXP: Quanto de Experiencia o Monstro dará ao jogador quando for vencido.
//				  Se for 0 a experiencia oferecida é calculada automaticamente.
//		 * Escala: 0 se a sua pequena, 1 se a sua média, 2 se o seu grande
//		 * Raça:  0 = sem forma, 1 = mortos-vivos, 2 = animais, 3 = planta, 4 = inseto, 5 = peixe, 6 = demônio, 7 Demihuman = 8 = anjo, 9 = dragão.
//		 * Elemento: Esta é a parte complicada. O número de elementos tem 2 partes, vamos chamá-los:
//				 XY: X = nível do elemento, e Y = número do elemento
//				     X: 2 = LVL1, 4 = LVL2, 6 = LVL3, 8 = LVL4.
//					  Y: 0 = Neutro, 1 = Água, 2 = Terra, 3 = Fogo, 4 = Vento, 5 = Venenoso, 6 = Sagrado, 7 = Sombra, 8 = Fantasma, 9 = Imortal
//					  * E agora, para tornar o elemento, basta pegar o número do lvl que você quer ser, e
//						 o número do elemento que você quer que seja. Vamos dizer que queremos um Monstros de fogo lvl 3.
//						 Capturamos o 6 para o primeiro número e os 3 para o segundo, sendo 6=lvl3, e 3=fogo.
//						 Será algo como = 63
//		 * Modo: Define o comportamento do Monstro. Os números são estes:
//				1=SeMovimeta, 2=ColetaNoChão, 4=Agressivo, 8=AuxiliaEspecie, 16=MultiAdversario, 32=Boss, 64=Planta, 128=PodeRevidar, 256=Detector, 512=EscolheAlvo
//				Exemplos:
//					* 133(A Morte)=128(PodeRevidar)+4(Agressivo)+1(SeMovimeta).
//					* 135(LimoVermelho)=128(PodeRevidar)+4(Agressivo)+2(ColetaNoChão)+1(SeMovimeta)
//					* 137(FadaGuardia)=128(PodeRevidar)+8(AuxiliaEspecie)+1(SeMovimeta)
//		 * Velocidade: Velocidade de caminhada da mob. 1 é o mais rápido, 3000 é o menor. 1000 é o caminhar normal de velocidade.
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

1002,verme,Verme,5,50,0,0,2,2,5,10,0,5,1,1,1,1,6,5,1,1,1,3,21,129,2000,1872,672,480,505,800,501,150,518,400,533,150,502,70,522,10,0,0,0,0,,,,,,,,,,,0,0
1003,escorpiao,Escorpião,10,100,0,0,4,1,10,15,0,5,1,1,1,0,15,5,1,1,1,3,25,129,1000,1872,672,480,507,700,510,100,509,50,518,700,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0
1004,escorpiaoVermelho,Escorpião Vermelho,90,550,0,0,145,1,50,55,4,6,8,8,10,10,30,10,1,1,1,0,25,129,1000,1872,672,480,517,2000,509,100,518,500,1200,10,1199,760,1201,540,524,25,0,0,,,,,,,,,,,1,50
1005,limoalgaverde,Limo Alga-Verde,40,300,0,0,8,1,25,30,2,7,1,20,1,1,30,30,1,1,1,0,21,131,1500,1872,672,480,502,200,513,100,501,100,521,100,522,190,3160,100,503,500,535,750,,,,,,,,,,,1,20
1006,vermegigante,Verme Gigante,80,500,0,0,16,2,45,75,2,7,8,6,2,1,22,1,2,2,1,0,44,129,2000,1872,672,480,1199,900,519,100,518,750,501,5000,502,3000,503,11,526,20,0,0,,,,,,,,,,,1,25
1007,limoDourado,Limo Dourado,60,400,0,0,2,1,35,40,2,7,9,6,2,1,34,1,1,1,1,0,21,131,1400,1800,672,480,534,200,519,100,501,350,502,250,522,10,640,150,3161,100,0,0,,,,,,,,,,,1,20
1008,limoVermelho,Limo Vermelho,70,450,0,0,56,1,40,45,2,7,12,8,2,1,25,1,1,1,1,0,21,135,1300,1500,672,480,3162,100,509,110,521,200,523,80,525,80,535,750,528,250,531,150,,,,,,,,,,,2,20
1009,escorpiaoPreto,Escorpião Preto,100,600,0,0,70,1,60,100,4,6,16,30,10,10,35,10,1,1,1,0,20,133,1000,1500,672,480,523,150,509,100,518,800,709,800,0,0,0,0,0,0,0,0,,,,,,,,,,,2,50
1010,cobra,Cobra,115,850,0,0,100,1,75,90,4,6,20,11,10,10,35,10,1,1,1,0,25,133,900,1300,672,480,524,300,714,400,714,400,710,500,0,0,0,0,0,0,0,0,,,,,,,,,,,2,30
1011,trasgodefogo,Trasgo de Fogo,20,220,0,0,2,1,15,20,0,5,1,1,1,0,6,30,1,1,1,3,23,129,800,1872,672,480,505,800,501,150,518,800,502,150,521,70,522,10,701,500,0,0,,,,,,,,,,,2,30
1012,aranha,Aranha,125,800,0,0,280,1,70,85,4,6,14,13,10,10,35,10,1,1,1,0,25,175,1000,1500,672,480,537,500,535,100,638,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,40
1013,cogumelomaligno,Cogumelo Malígno,110,650,0,0,110,1,65,80,4,6,16,12,10,10,35,10,1,1,1,3,22,137,800,1800,672,480,535,500,540,10,534,100,566,800,0,0,0,0,0,0,0,0,,,,,,,,,,,1,60
1014,flor,Flor,115,700,0,0,110,2,70,75,0,5,16,12,20,20,20,50,2,2,1,3,22,128,800,800,672,480,535,100,540,10,1199,100,526,400,565,500,0,0,0,0,0,0,,,,,,,,,,,2,50
1015,limoNoel,Limo Noel,120,750,0,0,0,1,75,80,2,7,1,20,1,1,30,30,1,1,1,0,21,161,1500,1872,672,480,512,800,513,700,514,600,519,500,527,400,538,500,3166,100,0,0,,,,,,,,,,,1,10
